parameter,0,1,2,3,4,5,6,7,8,9,min,avg,max,σ,μ-σ,μ+σ,
951,803392,483513,526436,338350,426812,427104,596301,821622,498832,568339,338350.00,549070.10,821622.00,327556.42,494065.58,1149178.42,
952,803392,483513,526436,338350,426812,427104,596301,821622,498832,568339,338350.00,549070.10,821622.00,327556.42,494065.58,1149178.42,
953,803392,483513,526535,338350,426812,427104,596302,821621,498832,568337,338350.00,549079.80,821621.00,327545.69,494075.31,1149166.69,
954,803392,483513,526436,338350,426812,427104,596302,821622,498832,568337,338350.00,549070.00,821622.00,327556.52,494065.48,1149178.52,
955,803392,483514,526435,338350,426812,427104,596302,821621,498831,568337,338350.00,549069.80,821621.00,327555.70,494065.30,1149176.70,
956,803392,483514,526535,338350,426812,427104,596302,821622,498832,568337,338350.00,549080.00,821622.00,327546.49,494075.51,1149168.49,
957,803392,483514,526435,338350,426812,427104,596302,821622,498832,568337,338350.00,549070.00,821622.00,327556.51,494065.49,1149178.51,
958,803392,483515,526435,338350,426812,427104,596301,821622,498833,568338,338350.00,549070.20,821622.00,327556.27,494065.73,1149178.27,
959,803392,483515,526435,338350,426812,427104,596301,821622,498833,568338,338350.00,549070.20,821622.00,327556.27,494065.73,1149178.27,
960,803392,483514,526436,338350,426812,427104,596301,821620,498833,568338,338350.00,549070.00,821620.00,327554.45,494065.55,1149174.45,
961,803392,483515,526436,338350,426812,427104,596301,821620,498834,568338,338350.00,549070.20,821620.00,327554.23,494065.77,1149174.23,
962,803391,483514,526436,338350,426812,427104,596300,821620,498834,568336,338350.00,549069.70,821620.00,327554.59,494065.41,1149174.59,
963,803392,483515,526436,338350,426812,427104,596301,821620,498834,568336,338350.00,549070.00,821620.00,327554.40,494065.60,1149174.40,
964,803392,483515,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.10,821621.00,327555.32,494065.68,1149176.32,
965,803392,483515,526435,338350,426813,427105,596301,821621,498834,568336,338350.00,549070.20,821621.00,327555.15,494065.85,1149176.15,
966,803392,483514,526435,338350,426813,427104,596302,821621,498834,568336,338350.00,549070.10,821621.00,327555.32,494065.68,1149176.32,
967,803392,483513,526434,338350,426813,427104,596302,821621,498834,568336,338350.00,549069.90,821621.00,327555.53,494065.47,1149176.53,
968,803392,483514,526434,338350,426813,427104,596301,821621,498834,568336,338350.00,549069.90,821621.00,327555.50,494065.50,1149176.50,
969,803392,483514,526435,338350,426813,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.40,494065.60,1149176.40,
970,803392,483514,526434,338350,426813,427104,596301,821621,498834,568336,338350.00,549069.90,821621.00,327555.50,494065.50,1149176.50,
971,803392,483514,526434,338350,426813,427104,596301,821621,498834,568336,338350.00,549069.90,821621.00,327555.50,494065.50,1149176.50,
972,803392,483514,526434,338350,426813,427104,596301,821620,498834,568336,338350.00,549069.80,821620.00,327554.58,494065.42,1149174.58,
973,803392,483514,526435,338350,426813,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.40,494065.60,1149176.40,
974,803392,483514,526436,338350,426813,427104,596301,821621,498834,568336,338350.00,549070.10,821621.00,327555.30,494065.70,1149176.30,
975,803392,483514,526436,338350,426812,427104,596301,821620,498834,568336,338350.00,549069.90,821620.00,327554.51,494065.49,1149174.51,
976,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
